RANK,BETTOR,UNIT,W,L,P,%,LDAY REC,LDAY UNITS,STRK,W/L/P REC,NOTES
1,Inferno Bets,87.96,195,168,0,50%,8-4,8.35,W5,34-22,
2,Build Your Bankroll,74.87,365,377,3,49%,7-5,5.77,W1,38-29,
3,Wordd Cam DFS,69.48,132,141,0,44%,1-1,1.3,W1,38-24,
4,Straight Jazz,65.47,364,351,4,52%,-,0.0,W1,27-32,
5,T&Ste Betting Co,58.29,84,126,0,41%,-,0.0,L9,20-32-1,
6,Utter Locks,52.24,72,50,1,61%,-,0.0,W3,29-18,
7,Wager Analyst,38.65,208,244,8,46%,5-4,3.26,W1,37-28-1,
8,Stottys Locks,37.51,191,157,2,57%,9-5,5.95,W3,32-20,
9,Tredub Sports,34.28,78,64,2,53%,-,0.0,W3,28-20,
10,Invest in Bets,31.31,122,152,1,47%,1-2,0.67,W2,35-31,
11,AD2,30.74,334,214,2,65%,4-2,1.96,W3,41-25,
12,Chef Book,16.7,183,185,0,47%,1-1,0.0,-,25-23-3,
13,Up-To-Date Sports,15.03,56,64,0,49%,0-4,-7.5,L1,19-20,
14,Johnny Millz,13.94,239,220,3,52%,10-9,-5.96,L5,30-33-1,
15,Hunnit Locks,13.63,110,86,0,58%,5-2,2.38,W1,26-21,
16,J Pet Bets,13.37,126,108,1,53%,1-2,-1.02,L3,33-29,
17,Twin City Bets,11.6,358,336,4,50%,18-13,9.77,W7,31-28,
18,Don Corleone Jones,10.72,233,220,0,51%,3-8,-5.84,L1,29-29-1,
19,Frankie Bones,3.7,145,138,3,50%,1-2,-0.56,L2,23-23,
20,Balls Out Sports Bets,1.65,89,83,0,47%,2-1,0.64,W1,26-26,
21,Duck Duck Ca$h,1.6,504,1159,2,29%,8-3,7.25,W2,33-32,
22,Spread Best Bets,0.11,73,72,1,50%,-,0.0,L1,19-23-1,
23,Staibo Bets LLC,-1.81,9,9,0,50%,-,0.0,W1,4-4,
24,Babbracadabra Sports Picks,-2.64,158,160,5,50%,-,0.0,L2,30-32-1,
25,Northwood Sports Picks,-2.8,76,68,5,51%,0-1,-0.5,L2,28-30,
26,606bets,-4.07,162,160,4,46%,3-4,-3.48,L1,27-36-1,
27,Last Word Picks,-5.65,126,153,3,47%,4-12,-8.77,L2,22-21,
28,King Beaver,-5.67,74,78,1,40%,6-3,7.86,L1,9-12,
29,BJN Sports,-7.64,43,41,0,50%,2-0,2.26,W1,20-19-1,
30,Bank Rolls Bets,-8.07,25,35,0,42%,-,0.0,L1,10-13,
31,Average Guys Average Picks,-8.34,146,156,4,49%,0-1,-3.0,L3,21-30-1,
32,Dylans Daily Locks,-9.26,94,98,0,51%,1-0,1.0,W1,21-19-2,
33,Bridge City Bets,-11.25,57,68,2,49%,-,0.0,L4,14-23-1,
34,Shnols Bets,-11.57,3,6,0,33%,-,0.0,L3,0-3,
35,The Luminary,-12.17,36,40,0,49%,-,0.0,L2,11-15,
36,Really Rico,-12.93,199,203,2,45%,8-6,2.89,W1,26-32,
37,WizOfWagers,-14.88,317,286,4,52%,5-5,-3.6,L2,30-36,
38,West Coast Capper,-16.53,31,41,1,43%,-,0.0,L4,7-15,
39,Bettor in Green,-16.8,61,74,1,44%,3-1,1.68,W1,14-15-1,
40,Coach B,-17.46,172,171,4,51%,4-10,-12.86,L7,27-38,
41,Big Tex,-21.45,90,44,0,70%,-,0.0,W1,8-11,
42,Sean x Juice Room,-22.85,29,55,0,36%,0-1,-1.5,L1,10-16,
43,Parlay Cookin Logie,-24.9,98,116,0,50%,4-10,-19.2,L3,21-28-1,
44,Group Gamblers,-25.85,140,145,0,50%,6-10,-7.22,L1,27-33,
45,Xay Picks,-29.22,98,131,2,41%,-,0.0,L2,19-33,
46,ANDACTIONBTB,-31.69,77,117,1,37%,0-3,-9.0,L4,32-30,
47,Parlay Cookin Slingy,-33.36,226,239,11,51%,4-2,3.4,W1,28-33-5,
48,Blake Nitty,-40.24,112,114,0,50%,-,0.0,L1,20-33,
49,Novadamus,-43.45,55,103,1,35%,1-2,-1.76,L7,8-20,
50,Commonwealth Cappers,-67.68,91,132,0,40%,-,0.0,W1,13-24,
51,Common Sense Picks,-88.71,378,399,3,46%,11-9,2.66,W1,26-36,
