RANK,BETTOR,UNIT,W,L,P,%,LDAY REC,LDAY UNITS,STRK,W/L/P REC,NOTES
1,Inferno Bets,73.2,166,144,0,50%,6-4,3.07,W2,29-21,
2,Build Your Bankroll,69.29,327,331,3,49%,4-4,-5.3,L1,34-27,
3,T&Ste Betting Co,67.29,84,123,0,41%,0-1,-3.0,L6,20-29-1,
4,Straight Jazz,65.47,364,351,4,52%,-,0.0,W1,27-32,
5,Wordd Cam DFS,53.66,121,136,0,44%,1-0,1.28,W2,33-23,
6,Utter Locks,44.84,69,50,1,61%,-,0.0,L1,26-18,
7,Invest in Bets,37.04,118,143,1,47%,1-1,0.67,W3,33-27,
8,Wager Analyst,31.38,189,221,8,46%,3-2,2.61,W3,33-26-1,
9,Tredub Sports,29.68,69,58,2,53%,1-1,0.2,W5,25-19,
10,Johnny Millz,25.09,211,189,3,52%,4-3,1.46,W1,29-28-1,
11,Hunnit Locks,24.16,101,72,0,58%,2-1,0.8,W2,24-19,
12,Stottys Locks,23.72,162,139,2,57%,4-0,4.5,W1,28-18,
13,AD2,21.37,312,198,2,65%,7-3,2.96,W4,36-24,
14,Don Corleone Jones,15.13,204,189,0,51%,2-6,-0.82,L2,26-26-1,
15,J Pet Bets,12.43,118,101,1,53%,3-2,1.89,W3,31-26,
16,Chef Book,12.19,175,179,0,47%,2-1,0.4,W1,23-21-2,
17,Duck Duck Ca$h,6.03,461,1076,2,29%,3-3,0.86,W1,30-29,
18,Up-To-Date Sports,5.31,44,53,0,49%,1-0,1.7,W2,14-19,
19,606bets,3.13,150,145,3,46%,2-5-1,-8.16,L1,26-31-1,
20,Frankie Bones,2.84,129,125,3,50%,7-4,1.83,W2,20-21,
21,Average Guys Average Picks,2.56,132,135,3,49%,1-1-1,-0.12,L1,19-26-1,
22,Coach B,2.5,156,146,4,51%,0-2,-4.0,L1,27-32,
23,Babbracadabra Sports Picks,1.52,144,143,5,51%,2-2,1.92,W1,29-28-1,
24,Parlay Cookin Logie,0.78,86,91,0,50%,1-2,-2.62,L2,20-23-1,
25,Balls Out Sports Bets,0.72,80,75,0,47%,0-1,-2.0,L1,24-25,
26,Northwood Sports Picks,0.37,71,58,5,51%,2-1,0.4,W6,26-27,
27,Spread Best Bets,-1.2,65,66,0,50%,0-1,-1.0,L3,16-22-1,
28,Staibo Bets LLC,-1.81,9,9,0,50%,-,0.0,W1,4-4,
29,Last Word Picks,-4.24,110,133,2,47%,-,0.0,L2,21-18,
30,Bank Rolls Bets,-5.07,25,32,0,42%,-,0.0,W1,10-12,
31,ANDACTIONBTB,-6.09,68,100,1,37%,3-2,13.57,W6,30-26,
32,Dylans Daily Locks,-7.62,88,91,0,51%,-,0.0,L2,18-17-2,
33,WizOfWagers,-7.85,284,255,4,52%,4-6,-5.1,L3,28-32,
34,BJN Sports,-8.75,40,39,0,56%,-,0.0,W1,18-17-1,
35,Bridge City Bets,-11.25,578,68,2,49%,-,0.0,L4,14-23-1,
36,Shnols Bets,-11.57,3,6,0,33%,-,0.0,L3,0-3,
37,The Luminary,-12.17,36,40,0,49%,-,0.0,L2,11-15,
38,Group Gamblers,-13.75,122,124,0,50%,2-6,-7.7,L1,26-28,
39,Parlay Cookin Slingy,-14.74,209,215,9,51%,1-1,0.0,-,26-29-5,
40,Bettor in Green,-15.38,51,63,1,44%,-,0.0,W1,11-14-1,
41,West Coast Capper,-16.53,31,41,1,43%,-,0.0,L4,7-15,
42,King Beaver,-17.69,43,52,0,40%,-,0.0,W1,6-9,
43,Novadamus,-18.64,51,87,1,35%,1-3,-4.25,L2,8-15,
41,Twin City Bets,-20.57,288,293,4,50%,4-1,4.22,W1,25-28,
45,Big Tex,-21.45,90,44,0,70%,-,0.0,W1,8-11,
46,Xay Picks,-21.57,97,126,2,41%,-,0.0,W3,18-31,
47,Really Rico,-22.78,168,178,2,45%,2-4,-4.17,L2,23-29,
48,Sean x Juice Room,-23.47,28,53,0,36%,1-2,5.45,W3,9-14,
49,Blake Nitty,-40.19,111,113,0,50%,2-0,4.42,W1,20-32,
50,Commonwealth Cappers,-67.68,91,132,0,40%,-,0.0,W1,13-24,
51,Common Sense Picks,-79.85,322,341,3,46%,9-10,-4.51,L1,22-34,
